id	url	source	notes
1	https://jobs.ashbyhq.com/zapier/132ea256-1173-4682-b134-59e638667ef0	ashby-search	Zapier | Head of Total Rewards
2	https://jobs.ashbyhq.com/zapier/e05e9b7c-6e79-423a-aa20-42d4c489fca9	ashby-search	Zapier | Benefits Manager
3	https://jobs.lever.co/quizlet-2/04d62262-1666-4736-bbc3-f102ca16313d	lever-search	Quizlet | Senior Manager, Total Rewards and Operations
4	https://job-boards.greenhouse.io/alma/jobs/8180139002	greenhouse-search	Alma | Senior Manager, Total Rewards
5	https://job-boards.greenhouse.io/benchling/jobs/7347981	greenhouse-search	Benchling | Total Rewards Manager, Compensation Lead
6	https://jobs.ashbyhq.com/matter-labs/c9cf296c-1803-46db-962d-2780991f7e34	ashby-search	Matter Labs | Senior Compensation & People Analytics Manager
7	https://jobs.lever.co/palantir/050f3762-432e-471e-b6c1-4e674a7e5ca9	lever-search	Palantir | People Program Manager
8	https://jobs.lever.co/gohighlevel/c5d93739-3425-431c-893d-768e433a3f9c	lever-search	HighLevel | Program Manager, People
9	https://job-boards.greenhouse.io/gametimeunited/jobs/4919520008	greenhouse-search	Gametime United | Senior Total Rewards Manager
10	https://job-boards.greenhouse.io/temporaltechnologies/jobs/4739105007	greenhouse-api	Temporal | Total Rewards Manager
11	https://job-boards.greenhouse.io/netdocuments/jobs/5016783008	greenhouse-search	NetDocuments | Global Total Rewards, Compensation & Benefits Manager
12	https://job-boards.greenhouse.io/natera/jobs/5843321004	greenhouse-search	Natera | Senior Director Compensation and Total Rewards
13	https://job-boards.greenhouse.io/algolia/jobs/5727456004	greenhouse-search	Algolia | Total Rewards Manager
14	https://job-boards.greenhouse.io/affinipay1/jobs/4574628006	greenhouse-search	AffiniPay | Director, Total Rewards
15	https://jobs.lever.co/nextech/596e354a-2390-4260-bbb2-89f4cc28f5c6	lever-search	Nextech | Director of Total Rewards
16	https://jobs.lever.co/contentsquare/1aa97cfe-f003-49ab-aa32-a442f7bb27e1	lever-search	Contentsquare | Director of Total Rewards
17	https://jobs.lever.co/trustly/bfb632dd-ff90-4a9e-9e64-6e325aa65aee	lever-search	Trustly | Global Head of Total Rewards
18	https://jobs.lever.co/colibrigroup/12102dd8-6190-400e-b8da-e1bd153cd121	lever-search	Colibri Group | Director, Total Rewards
19	https://jobs.lever.co/rover/c0f74a7f-5098-43ce-8dd9-79aaca2a50f4	lever-search	Rover | Sr. Total Rewards Analyst
20	https://job-boards.greenhouse.io/engine/jobs/7527052003	greenhouse-search	Engine | Sr. Total Rewards Specialist
21	https://job-boards.greenhouse.io/airtable/jobs/7968990002	greenhouse-search	Airtable | People Analytics Lead
22	https://job-boards.greenhouse.io/airtable/jobs/8235618002	greenhouse-api	Airtable | Senior Manager, People Systems
23	https://jobs.ashbyhq.com/skydio/0703aaa0-9fcb-4b22-ad8c-b53e74151a72	ashby-search	Skydio | Senior People Analytics Analyst
24	https://job-boards.greenhouse.io/checkr/jobs/7091743	greenhouse-search	Checkr | Staff HR/People Systems Analyst
25	https://job-boards.greenhouse.io/webflow/jobs/7657237	greenhouse-search	Webflow | People Analytics & Insights Analyst
26	https://job-boards.greenhouse.io/gleanwork/jobs/4649445005	greenhouse-api	Glean | People Analytics Lead
27	https://job-boards.greenhouse.io/mercury/jobs/5847980004	greenhouse-search	Mercury | Senior Analyst, Compensation & People Analytics
28	https://job-boards.greenhouse.io/wrike/jobs/4666813005	greenhouse-search	Wrike | Team Lead, People Systems & Analytics
29	https://job-boards.greenhouse.io/angi/jobs/8081046002	greenhouse-search	Angi | People Data & Systems Analyst
30	https://job-boards.greenhouse.io/gumgum/jobs/7026720003	greenhouse-search	GumGum | Analyst, People Operations and Analytics
31	https://jobs.lever.co/aircall/78b597ac-a9f2-428f-a42c-96b97b5f5856	lever-search	Aircall | HR Program Manager
32	https://jobs.ashbyhq.com/onebrief/dc57c2c9-cc32-4c9d-8cee-44b3a5bce545	ashby-search	Onebrief | Total Rewards Manager
33	https://jobs.ashbyhq.com/seon/531b834c-2725-49df-81e3-61643d59d653	ashby-search	Seon | Global People Operations & Total Rewards Manager
34	https://jobs.ashbyhq.com/semperis/6b33fba6-d7d8-4b53-ab26-75536e3900a0	ashby-search	Semperis | Compensation and Benefits Manager
35	https://jobs.ashbyhq.com/dandy/88353677-ee24-4af8-a805-d9082a28c987	ashby-search	Dandy | Benefits Manager
36	https://n26.com/en-eu/careers/positions/7698531?gh_jid=7698531	greenhouse-api	N26 | Rewards Senior Manager
37	https://careers.hellofresh.com/global/en/job/7749809?gh_jid=7749809	greenhouse-api	HelloFresh | Director, Global Compensation
38	https://careers.hellofresh.com/global/en/job/7588165?gh_jid=7588165	greenhouse-api	HelloFresh | Global Rewards Associate
39	https://careers.hellofresh.com/global/en/job/7731769?gh_jid=7731769	greenhouse-api	HelloFresh | Equity Compensation Analyst
40	https://job-boards.greenhouse.io/runpod/jobs/5115151008	greenhouse-api	RunPod | Head of People Operations
41	https://helsing.ai/jobs/4812310101?gh_jid=4812310101	greenhouse-api	Helsing | HRIS & Systems Lead
42	https://helsing.ai/jobs/4754971101?gh_jid=4754971101	greenhouse-api	Helsing | People Operations Administrator
43	https://wellfound.com/jobs/2939026-manager-people-operations	wellfound-search	Headspace | Manager, People Operations
44	https://careers.westinghousenuclear.com/job/Cranberry-Township-Senior-Manager,-Global-Benefits-Remote-NC/1362224300/	general-search	Westinghouse | Senior Manager, Global Benefits
